rank,word,meaning
1,de,of/from
2,la,the
3,que,that/which
4,el,the
5,en,in
6,y,and
7,a,to
8,los,the
9,no,not
10,un,a/an
11,se,oneself
12,por,for/by
13,es,is
14,del,of the
15,las,the
16,con,with
17,una,a/an
18,para,for
19,lo,it
20,su,his/her/your
21,al,to the
22,como,as
23,me,me
24,más,further
25,si,if
26,pero,but
27,te,you
28,o,or
29,le,you
30,este,this
31,sus,their
32,esta,this
33,todo,all
34,ya,already
35,ha,ha
36,cuando,when
37,yo,i
38,ser,to be
39,son,are
40,sin,without
41,hay,there is
42,está,this
43,fue,was
44,tu,your
45,muy,very
46,sobre,about
47,también,also
48,todos,all
49,eso,that
50,tiene,has
51,nos,us
52,porque,because
53,qué,that
54,así,so
55,años,years
56,dos,two
57,bien,good
58,entre,between
59,puede,can
60,desde,from
61,hasta,until
62,hacer,to do/make
63,ahora,now
64,era,was
65,esto,this
66,vez,time
67,hace,does
68,nada,nothing
69,ni,neither
70,donde,where
71,parte,part
72,solo,only
73,algo,something
74,tiempo,time
75,día,day
76,uno,one
77,mejor,better
78,mucho,a lot
79,tan,so
80,ver,to see
81,vida,life
82,e,and
83,ese,that
84,han,they have
85,mismo,same
86,siempre,always
87,tengo,i have
88,cada,each
89,después,after
90,están,are
91,gente,people
92,esa,that
93,estado,state
94,estoy,i'm
95,mundo,world
96,va,goes
97,año,year
98,les,them
99,mas,further
100,otro,other
101,otros,others
102,gracias,thank you
103,otra,other
104,cosas,things
105,gran,great
106,menos,less
107,nunca,never
108,personas,people
109,tanto,so much
110,antes,before
111,poco,bit
112,sea,be
113,había,there was
114,tener,to have
115,trabajo,work
116,durante,during
117,ellos,they
118,lugar,place
119,creo,believe
120,cómo,as
121,hecho,made
122,quiero,wanna
123,sólo,only
124,aunque,although
125,contra,against
126,cuenta,account
127,decir,say
128,gobierno,government
129,país,country
130,soy,am
131,todas,all
132,casa,house
133,estos,these
134,forma,shape
135,he,i have
136,nuevo,new
137,sido,been
138,él,he
139,aquí,here
140,ella,she
141,estas,are
142,sí,yeah
143,estaba,was
144,estar,be
145,hoy,today
146,tienen,have
147,alguien,someone
148,dice,says
149,quien,who
150,toda,all
151,tres,three
152,voy,go
153,caso,case
154,días,days
155,momento,moment
156,bueno,well
157,ciudad,city
158,mis,my
159,nuestro,our
160,luego,then
161,nacional,national
162,parece,seems
163,nuestra,our
164,poder,to be able to
165,pueden,they can
166,pues,well
167,verdad,true
168,historia,history
169,mientras,while
170,nadie,nobody
171,nueva,new
172,otras,others
173,primera,first
174,veces,times
175,muchos,many
176,cual,which
177,debe,has to
178,dijo,said
179,entonces,so
180,ir,to go
181,tipo,guy
182,algunos,some
183,general,general
184,mayor,elderly
185,tal,such
186,además,besides
187,mal,evil
188,muchas,many
189,primer,first
190,según,according to
