rank,word,meaning
1,de,of/from
2,la,the
3,le,the
4,et,and
5,les,the
6,est,is
7,en,in
8,des,some/the
9,un,a/an
10,que,that/which
11,pas,not
12,une,a/an
13,du,of the
14,pour,for
15,dans,in
16,je,I
17,qui,who/that
18,au,to the
19,ce,this/that
20,sur,on
21,qu,that
22,par,by
23,on,one/we
24,ne,not
25,plus,more
26,avec,with
27,mais,but
28,se,oneself
29,vous,you
30,ça,that
31,tu,you
32,elle,she
33,son,his/her
34,ai,ai
35,ou,or
36,si,if
37,sont,are
38,tout,all
39,fait,made/done
40,nous,we
41,comme,as
42,être,be
43,bien,good
44,ils,they
45,cette,this
46,faire,to do/make
47,sa,his/her
48,aux,to the
49,même,even
50,me,me
51,ont,have
52,était,was
53,été,summer
54,mon,my
55,ses,his
56,lui,him/her
57,aussi,also
58,peut,can
59,deux,two
60,leur,their
61,moi,me
62,ces,these
63,quand,when
64,après,after
65,suis,am
66,très,very
67,tous,all
68,sans,without
69,avoir,to have
70,non,no
71,où,or
72,va,go
73,encore,again
74,alors,so
75,avait,had
76,entre,between
77,temps,time
78,ans,years
79,autres,others
80,dit,said
81,ma,my
82,là,there
83,peu,little
84,autre,other
85,france,france
86,rien,nothing
87,dire,say
88,monde,world
89,te,you
90,fois,times
91,faut,must
92,toujours,always
93,voir,to see
94,bon,good
95,contre,against
96,votre,your
97,avant,before
98,depuis,since
99,donc,so
100,notre,our
101,sous,below
102,jamais,never
103,vie,life
104,moins,less
105,dont,of which
106,toi,you
107,déjà,already
108,quoi,what
109,soit,either
110,trop,too much
111,leurs,their
112,ton,your
113,toute,all
114,chez,at the house of
115,gens,people
116,juste,just
117,oui,yes
118,vraiment,really
119,ainsi,thus
120,as,ace
121,grand,big
122,pays,country
123,français,french
124,mes,my
125,beaucoup,a lot
126,jour,day
127,quelques,a few
128,comment,how
129,es,are
130,premier,first
131,sera,will be
132,nos,our
133,parce,because
134,personne,person
135,cela,that
136,trois,three
137,homme,man
138,paris,paris
139,toutes,all
140,vu,seen
141,cas,case
142,chose,thing
143,doit,must
144,partie,part
145,car,because
146,eu,had
147,mal,wrong
148,première,first
149,bonne,good
150,fin,end
151,mieux,better
152,pendant,during
153,petit,little
154,puis,then
155,année,year
156,cet,this
157,ceux,those
158,elles,they
159,moment,moment
160,place,place
161,plusieurs,several
162,pourquoi,why
163,ta,your
164,ville,city
165,jours,days
166,mois,month
167,vers,towards
168,histoire,history
169,mort,dead
170,sais,know
171,années,years
172,fais,do
173,nouveau,new
174,nouvelle,new
175,part,leaves
176,travail,work
177,compte,account
178,merci,thanks
179,prendre,to take
180,veut,wanna
181,état,state
182,aller,to go
183,cours,course
184,peux,can
185,politique,policy
186,reste,stay
187,veux,want
188,vos,your
189,ca,that
190,celui,the one
191,chaque,each
192,grande,big
