rank,word,meaning
1,的,of
2,一,one
3,是,is
4,不,not
5,了,particle
6,我,I
7,有,have
8,在,in
9,人,person
10,这,this
11,个,generic measure word
12,上,on
13,大,big
14,来,come
15,我们,we
16,中,center
17,为,for
18,他,he
19,们,plural marker
20,地,ground
21,到,to
22,说,speak
23,你,you
24,就,then
25,出,out
26,会,can
27,可,can
28,也,also
29,要,want
30,看,see
31,好,good
32,自己,self
33,里,inside
34,后,after
35,年,year
36,生,life
37,学,study
38,工作,work
39,家,home
40,学校,school
41,老师,teacher
42,朋友,friend
43,书,book
44,水,water
45,饭,food
46,狗,dog
47,城市,city
48,家庭,family
49,花园,garden
50,音乐,music
51,旅行,travel
52,孩子,child
53,房间,room
54,树,tree
55,公园,park
56,时间,time
57,白天,daytime
58,晚上,night
59,阅读,read
60,写,write
61,走,walk
62,爱,love
63,吃,eat
64,简单,simple
65,快乐,happy
66,漂亮,beautiful
67,新,new
68,旧,old
69,小,small
70,问,ask
71,用,use
72,想,think
73,能,can
74,去,go
75,听,listen
76,喜欢,like
77,生活,life
78,认识,know
79,需要,need
80,今天,today
81,明天,tomorrow
82,昨天,yesterday
83,现在,now
84,时间,time
85,地方,place
86,这里,here
87,那里,there
88,什么,what
89,谁,who
90,多少,how many
91,哪里,where
92,为什么,why
93,怎么,how
94,可以,can
95,不能,cannot
96,因为,because
97,所以,so
98,但是,but
99,如果,if
100,还是,still
101,而且,and also
102,或者,or
103,每个,every
104,一些,some
105,很多,many
106,一点点,a little
107,昨天晚上,last night
108,今天早上,this morning
109,下午,afternoon
110,晚上,evening
111,早上,morning
112,学习,study
113,教,teach
114,读,read
115,写字,write characters
116,看见,see
117,听见,hear
118,说话,speak
119,问问题,ask questions
120,回答,answer
121,开始,start
122,结束,end
123,打开,open
124,关闭,close
125,买,buy
126,卖,sell
127,做,do/make
128,吃饭,eat a meal
129,喝,drink
130,睡觉,sleep
131,走路,walk
132,跑,run
133,坐,sit
134,站,stand
135,拿,take
136,给,give
137,送,send/give as a gift
138,找,find
139,想要,want
140,喜欢的,liked
141,新的,new
142,旧的,old
143,大的,big
144,小的,small
145,好的,good
146,坏的,bad
147,漂亮的,beautiful
148,简单的,simple
149,快乐的,happy
150,难,hard/difficult
151,容易,easy
152,热,hot
153,冷,cold
154,高,tall/high
155,低,low
156,长,long
157,短,short
158,快,fast
159,慢,slow
160,贵,expensive
161,便宜,cheap
162,左,left
163,右,right
164,前面,front
165,后面,back
166,上面,above
167,下面,below
168,里面,inside
169,外面,outside
170,附近,nearby
171,远,far
172,城市,city
173,村子,village
174,国家,country
175,中国,China
176,美国,United States
177,英国,United Kingdom
178,法国,France
179,学校里,at school
180,家里,at home
181,办公室,office
182,商店,shop
183,医院,hospital
184,图书馆,library
185,餐厅,restaurant
186,公园里,in the park
187,桌子,table
188,椅子,chair
189,门,door
190,窗户,window
191,床,bed
192,电脑,computer
193,手机,phone
194,纸,paper
195,笔,pen
196,铅笔,pencil
197,衣服,clothes
198,鞋子,shoes
199,颜色,color
200,天气,weather
