rank,word,meaning
1,die,the
2,der,the
3,und,and
4,in,in
5,das,the/that
6,ich,I
7,ist,is
8,nicht,not
9,zu,to
10,den,the
11,von,of
12,mit,with
13,es,it
14,ein,a/an
15,auf,on
16,für,for
17,sie,she/they
18,eine,a/an
19,sich,itself
20,auch,also
21,dem,the
22,des,of the
23,als,as
24,er,he
25,an,to
26,dass,that
27,so,so
28,bei,at/near
29,wie,how
30,aber,but
31,aus,out/of
32,hat,has
33,sind,are
34,nach,after/to
35,noch,still/yet
36,wir,we
37,du,you
38,war,was
39,nur,only
40,wenn,if
41,oder,or
42,wird,becomes
43,was,what
44,werden,become
45,einen,a
46,am,on
47,man,one/people
48,um,around
49,haben,to have
50,einer,one
51,zum,for the
52,kann,can
53,über,above
54,da,there
55,dann,then
56,einem,one
57,schon,already
58,habe,have
59,ja,yes
60,mehr,more
61,mir,me
62,sein,to be
63,vor,before
64,mal,just
65,zur,to
66,durch,through
67,hier,here
68,mich,me
69,bis,until
70,doch,but
71,ihr,her
72,immer,always
73,jetzt,now
74,diese,this
75,wurde,became
76,wieder,again
77,keine,no
78,alle,all
79,sehr,very
80,können,can
81,muss,must
82,uns,us
83,bin,am
84,unter,under
85,vom,from the
86,gut,good
87,gibt,gives
88,hatte,had
89,ihre,her
90,dieser,this
91,gegen,against
92,seine,his
93,alles,everything
94,also,so
95,geht,goes
96,viel,much
97,zeit,time
98,ab,away
99,ganz,quite
100,machen,to do/make
101,denn,because
102,meine,mine
103,damit,with it
104,dir,you
105,will,wants
106,einfach,simply
107,ohne,without
108,weil,because
109,beim,at the
110,etwas,something
111,waren,were
112,zwei,two
113,mein,my
114,eines,one
115,kein,no
116,seit,since
117,soll,should
118,selbst,himself
119,wo,where
120,dich,you
121,menschen,people
122,hab,have
123,heute,today
124,kommt,comes
125,nichts,nothing
126,nun,so
127,würde,would
128,leben,life
129,wer,who
130,macht,might
131,anderen,others
132,deutschland,germany
133,ihm,him
134,jahr,year
135,ob,whether
136,ihn,him
137,jahren,years
138,seiner,his
139,viele,many
140,zwischen,between
141,jahre,years
142,wäre,were
143,diesem,this one
144,dieses,this
145,wurden,became
146,dabei,included
147,dort,there
148,müssen,must
149,gerade,straight
150,neue,new
151,sondern,rather
152,erst,first
153,ersten,first
154,ihrer,theirs
155,lassen,let
156,sollte,should
157,andere,other
158,hast,have
159,warum,why
160,weiss,white
161,weiter,further
162,wirklich,really
163,ihnen,them
164,ihren,your
165,mann,man
166,wohl,probably
167,drei,three
168,seinen,his
169,vielleicht,perhaps
170,dazu,in addition
171,diesen,this one
172,euch,you
173,kommen,to come
174,wollen,to want
175,bitte,please
176,hätte,would have
177,sei,be
178,könnte,could
179,sehen,to see
180,sowie,as well as
181,tag,day
182,berlin,berlin
183,dafür,for that
184,ins,into the
185,sagen,to say
186,steht,stands
187,während,while
188,bereits,already
189,deutschen,german
190,ende,end
191,nie,never
192,uhr,clock
193,weg,away
194,wegen,because of
195,besser,better
196,einmal,once
197,frau,woman
198,stadt,city
199,welt,world
200,gehen,to go
201,gemacht,made
202,genau,exactly
203,danke,thanks
204,gar,even
205,konnte,could
206,leute,people
207,neuen,new
208,seinem,his
209,unsere,our
210,dies,this
211,etwa,approximately
212,jeder,everyone
213,natürlich,naturally
214,the,the
215,bist,are
216,gute,good
217,recht,right
218,finden,find
219,geben,give
220,kinder,children
221,werde,become
222,geld,money
223,gleich,even
224,keinen,none
225,lange,long
226,sagt,says
227,teil,part
228,allem,everything
229,beiden,both
230,davon,of that
231,eigentlich,actually
232,fast,almost
233,richtig,correct
234,tun,do
235,arbeit,work
236,de,de
237,denen,those
238,deutsche,german
239,erste,first
240,frage,ask
241,meiner,mine
242,sieht,sees
243,zurück,back
244,deine,your
245,jedoch,however
246,klar,clear
247,paar,couple
248,grosse,size
249,grossen,big ones
250,liegt,lies
251,welche,which
252,wissen,to know
253,zusammen,together
254,einige,some
255,fall,case
256,gab,gave
257,kannst,can
258,sicher,secure
259,frauen,women
260,ihrem,theirs
261,kam,came
262,allen,everyone
263,darauf,on it
264,hatten,had
265,letzten,last
266,meinen,mean
267,nein,no
268,schön,nice
269,sogar,even
270,vielen,many
271,worden,been
272,zwar,that is
273,allerdings,however
274,art,art
275,schnell,fast
276,sollen,should
277,darf,may
278,jeden,every
279,jemand,someone
280,später,later
281,stehen,stand
282,wollte,wanted
283,ganze,whole
284,gerne,gladly
285,möchte,want
286,seite,page
287,spiel,game
288,weitere,more
289,wenig,few
290,heisst,is called
291,liebe,love
292,oft,often
293,sagte,said
294,fragen,questions
295,land,country
296,neben,next to
297,statt,instead of
298,dein,your
299,gehört,heard
300,lässt,lets
301,platz,place
302,besonders,particularly
303,geschichte,story
304,ne,no
305,nehmen,to take
306,of,of
307,darüber,about it
308,deren,whose
309,hin,there
310,vier,four
311,gesagt,said
312,guten,good
313,kurz,short
314,meinem,mine
315,morgen,morning
316,sonst,otherwise
317,unser,our
318,bekommen,receive
319,bzw,or
320,euro,euro
321,gesehen,seen
322,kleine,small
323,spielen,play
324,weniger,fewer
325,familie,family
326,ging,went
327,haus,house
328,sollten,should
329,arbeiten,work
330,bild,picture
331,bleibt,remains
332,eigenen,own
333,je,ever
334,möglich,possible
335,weit,far
336,deshalb,for this reason
337,eben,even
338,gewesen,been
339,glaube,believe
340,minuten,minutes
341,polizei,police
342,ausserdem,aside from that
343,beide,both
344,findet,finds
345,ganzen,entire
346,leider,unfortunately
347,musste,had to
348,online,on-line
349,stellen,place
350,tage,days
351,unternehmen,company
352,woche,week
353,würden,would
354,besten,best
355,bleiben,remain
356,daher,therefore
357,grund,reason
358,kaum,barely
359,namen,names
360,problem,problem
361,daran,to it
362,halt,stop
363,nacht,night
364,neu,new
365,stand,stood
366,stunden,hours
367,thema,theme
368,beispiel,example
369,genug,enough
370,allein,alone
